src_ip,src_port,dst_ip,dst_port,protocol,requested_server_name,application_name
192.168.0.101,59368,120.204.0.25,80,6,extshort.weixin.qq.com,HTTP.QQ
192.168.0.101,53701,192.168.1.1,53,17,ins-mbckwsy9.ias.tencent-cloud.net,DNS
192.168.0.101,62079,36.155.249.30,443,6,,TLS.QQ
192.168.0.101,63481,192.168.1.1,53,17,pbaccess.video.qq.com,DNS.QQ
192.168.0.101,62084,36.155.163.111,443,6,snowflake.qq.com,TLS.QQ
192.168.0.101,61261,192.168.1.1,53,17,ins-pe24hspk.ias.tencent-cloud.net,DNS
192.168.0.101,62086,36.155.228.69,443,6,,TLS.QQ
192.168.0.100,12476,255.255.255.255,12476,17,,Unknown
192.168.0.101,59367,120.204.0.25,80,6,extshort.weixin.qq.com,HTTP.QQ
192.168.0.101,62089,36.155.163.111,443,6,snowflake.qq.com,TLS.QQ
192.168.0.101,59377,120.204.0.25,80,6,extshort.weixin.qq.com,HTTP.QQ
192.168.0.101,49726,192.168.1.1,53,17,iacc.rec.qq.com,DNS.QQ
192.168.0.101,57206,192.168.1.1,53,17,oth.eve.mdt.qq.com,DNS.QQ
192.168.0.101,60165,192.168.1.1,53,17,ios.rqd.qq.com,DNS.QQ
192.168.0.101,53915,192.168.1.1,53,17,h.trace.qq.com,DNS.QQ
192.168.0.101,62095,120.232.131.197,443,6,,TLS.QQ
192.168.0.101,62096,36.155.228.170,443,6,rdelivery.qq.com,TLS.QQ
192.168.0.101,51675,192.168.1.1,53,17,www.qq.com,DNS.QQ
192.168.0.101,59383,120.204.207.186,443,6,,TLS
192.168.0.101,49750,192.168.1.1,53,17,rmonitor.qq.com,DNS.QQ
192.168.0.101,58496,192.168.1.1,53,17,v.qq.com.sched.px-dk.tdnsv6.com,DNS
192.168.0.101,62081,119.29.29.98,80,6,119.29.29.98,HTTP
192.168.0.101,59386,36.155.163.112,80,6,iacc.qq.com,HTTP.QQ
192.168.0.101,62085,183.194.237.220,443,6,disp-qryapi.3g.qq.com,TLS.QQ
192.168.0.101,58296,192.168.1.1,53,17,ins-giuzhgwa.ias.tencent-cloud.net,DNS
